time,x,y,z
826.0,-1952572.4577691823,4746867.643407822,4562960.039676762
828.0,-1948744.9469168033,4737474.954636246,4574323.732730187
830.0,-1944907.8598391952,4728058.986752155,4585664.885208362
831.9999999999999,-1941061.215483679,4718619.786249787,4596983.441442426
834.0,-1937205.0328442368,4709157.399736766,4608279.345876067
836.0,-1933339.3309614146,4699671.873933873,4619552.543065789
838.0,-1929464.1289222243,4690163.255674802,4630802.9776811795
839.9999999999999,-1925579.4458600462,4680631.59190592,4642030.594505173
842.0,-1921685.3009545307,4671076.929686029,4653235.338434316
844.0,-1917781.713431501,4661499.3161861235,4664417.154479034
846.0,-1913868.7025628537,4651898.798689149,4675575.987763892
848.0000000000001,-1909946.2876664605,4642275.424589763,4686711.783527858
850.0,-1906014.4881060692,4632629.24139409,4697824.487124566
852.0,-1902073.3232912049,4622960.296719477,4708914.044022579
854.0,-1898122.812677071,4613268.638294257,4719980.399805646
856.0000000000001,-1894162.9757644488,4603554.3139575,4731023.500172969
858.0,-1890193.8320995986,4593817.3716587685,4742043.290939453
860.0,-1886215.4012741598,4584057.859457873,4753039.718035975
862.0,-1882227.7029250497,4574275.82552463,4764012.727509636
864.0000000000001,-1878230.7567343647,4564471.318138612,4774962.265524024
865.9999999999999,-1874224.5824292782,4554644.385688907,4785888.278359463
868.0,-1870209.199781941,4544795.07667386,4796790.71241328
870.0,-1866184.6286093802,4534923.439700839,4807669.514200051
872.0,-1862150.8887733973,4525029.523485981,4818524.630351865
873.9999999999999,-1858108.0001804673,4515113.376853944,4829356.00761857
876.0,-1854055.9827816368,4505175.048737656,4840163.592868034
878.0,-1849994.856572423,4495214.588178072,4850947.333086394
880.0,-1845924.6415927105,4485232.0443239175,4861707.1753783105
881.9999999999999,-1841845.3579266504,4475227.466431442,4872443.06696722
884.0,-1837757.025702557,4465200.903864168,4883154.9551955825
886.0,-1833659.665092805,4455152.406092636,4893842.787525137
888.0,-1829553.296313727,4445082.022694161,4904506.511537149
890.0000000000001,-1825437.9396255112,4434989.803352572,4915146.074932657
892.0,-1821313.6153320968,4424875.7978579635,4925761.425532729
894.0,-1817180.3437810717,4414740.056106442,4936352.511278702
896.0,-1813038.1453635683,4404582.628099869,4946919.280232432
